,material_id,800,index,formula_pretty_reduced,spacegroup_symbol,fav,fav_tot,298,298_tot,0.2,0.5,0.001,Conductor?
0,mp-10103,0.0,672,LiYbAlF6,P-31c,11.477275221198417,9.704037464119054,4.755822634221273,9.099154322180372,7.5523519054,9.2355285901,0.903448275862069,False
1,mp-10182,3.602e-05,183,LiZnP,F-43m,10.76714655287974,7.603618567600039,4.920655176330967,9.021703234182295,6.8407714221,11.687369736,0.75,True
2,mp-10250,0.0,368,BaLiF3,Pm-3m,7.150216532399281,7.339073042304376,4.423451457185224,5.717519055599756,3.2630675902,4.6483321876,0.9813664596273292,False
3,mp-10251,0.0,366,LiDyO2,P2_1/c,11.57399282512658,9.897371961052215,4.771624036865917,6.886610040304857,5.8095127662,5.8095127662,0.9567901234567902,False
4,mp-10485,0.0,329,BaLiSb,P6_3/mmc,2.5436019648992625,4.407195479370881,2.408381949857031,2.1766398285092343,1.7588825616,2.5038211013,0.9428571428571428,False
5,mp-10499,3.387e-05,281,LiZr2(PO4)3,P2_1/c,10.867861459921798,14.668263369551331,4.4600572954682205,7.5266938530637555,8.6145887808,14.4955002207,0.591304347826087,True
6,mp-10517,0.0,690,LiScP2O7,P2_1,10.660608851829908,14.936461441144736,5.383444289125976,7.771395493017613,7.1065964807,9.5252930638,0.7094017094017094,False
7,mp-10520,0.0,304,LiNdTiO4,P4/nmm,11.593892863627527,10.745150077882656,4.39813826853687,8.312735692228104,7.5210301833,9.352147534,0.7469879518072289,False
8,mp-10555,0.0,753,Ba2LiReN4,P2_1/m,13.61488813836386,9.6617435241847,3.5772643812756795,6.6607867141351385,5.4433500359,5.9647332199,0.9696969696969696,False
9,mp-10556,0.0,341,Sr2LiReN4,P2_1/m,15.46863070071526,10.65095230207416,4.252976012798827,7.242561468735634,6.4981969315,28.6154087688,0.97196261682243,False
10,mp-10615,0.0,473,BaLiP,P-6m2,5.4503764699115,6.21295423726334,3.241388366935952,4.538277274622379,3.4822831741,4.2748028413,0.9829059829059827,False
11,mp-10616,0.0,95,BaLiAs,P-6m2,3.3036922983272032,5.117947998976734,2.73295121857656,2.8349065698125924,2.1176803608,2.1176803608,0.9605263157894736,False
12,mp-10620,0.0,445,LiPrO2,P2_1/c,12.205672265079269,9.521216349718776,5.253822729088896,7.320285924131019,4.8074630272,6.3198683647,0.9681528662420382,False
13,mp-10814,0.0,328,SrLiBO3,P2_1/c,26.830090489096392,13.127465534472188,4.897626517300171,6.133164272409956,22.1114689412,22.1114689412,0.922077922077922,False
14,mp-10970,0.0,160,LiErO2,P2_1/c,10.741036548982583,9.704101057421347,4.65550045594253,6.289391541706256,4.4478501092,10.7691897058,0.9329268292682928,False
15,mp-10971,0.0,159,LiErO2,I4_1/amd,8.069922269593304,8.740057128033596,4.512051241642341,5.749733479149223,3.7091206873,4.8471464105,0.9754601226993864,False
16,mp-11175,,401,LiZnPS4,I-4,9.634189341876752,7.873590377522865,3.5754667486148266,6.34562035290343,8.5507739446,11.666576181,0.8230088495575221,
17,mp-11189,0.0,476,Li2MgSiO4,P2_1/c,12.546656942623477,13.829293662061035,7.026478998222883,9.460892145627849,8.9651317477,8.9651317477,0.8939393939393939,False
18,mp-1138,0.0,862,LiF,Fm-3m,11.664591478593303,9.92603029708308,7.763908621690174,9.486590318324524,9.1802618967,9.1802618967,0.967948717948718,False
19,mp-1153,2.591e-05,642,Li2S,Fm-3m,10.409641328533832,9.107710152831938,6.8182649442998855,8.721087404879981,8.1358137753,9.9778848114,0.9545454545454546,True
20,mp-11582,,64,LiGaSe2,Pna2_1,9.70913717056639,5.923168182907566,3.0302099452108524,7.060842000221315,9.6030851844,9.6030851844,0.822429906542056,
21,mp-12160,5.825e-06,482,Li6Ho(BO3)3,P2_1/c,11.99617350115429,15.702872304544096,5.187034368728287,7.327512923620743,5.7698594545,11.3297785208,0.8141592920353983,True
22,mp-12240,0.0,823,Na2LiBe2F7,P-42_1m,21.455613630659187,10.554807067589572,3.4114761302762737,5.007136521763838,20.9670016618,23.4027503125,1.0,False
23,mp-12263,0.0,671,LiAuF4,C2/c,9.882046328223348,8.587462946591119,3.283898422687054,7.601761304768398,7.7017875113,9.6463152944,0.9555555555555556,False
24,mp-12403,,170,LiBF4,P3_121,12.002218516369451,13.554500577799194,2.257627091200796,5.182060813370868,9.3365556681,11.9140024163,0.8690476190476191,
25,mp-12448,0.0,457,LiSm2OsO6,P2_1/c,10.78939545873236,9.633800168370165,4.393642598047426,9.051342648526033,8.6534603318,8.6534603318,0.7635135135135135,False
26,mp-12449,0.0,456,LiPr2OsO6,P2_1/c,10.754357866533123,9.547586156571183,4.4293783052704425,9.285878813622205,9.0118852965,9.0118852965,0.75177304964539,False
27,mp-12450,0.0,339,LiNd2OsO6,P2_1/c,10.7320575988813,9.5767451610123,4.444187494526808,9.153094153475184,8.5083585967,8.7575035468,0.7569444444444444,False
28,mp-12451,0.0,342,LiLa2OsO6,P2_1/c,11.031932955176464,9.068551848213245,4.14694597420922,9.812303919796577,9.7152397833,10.092350434,0.6756756756756757,False
29,mp-12525,0.0,375,Sr2LiReO6,Fm-3m,11.631114432872764,9.20576945626123,3.1099788410953546,3.899429100815293,2.3587490917,20.3351595263,1.0086206896551724,False
30,mp-12558,4.68e-06,349,LiMgAs,F-43m,9.322822092010716,6.9015563615295,4.803937694812916,8.302167357819934,9.3887811088,9.3887811088,0.7923076923076923,True
31,mp-12645,0.0,594,LiHoO2,P2_1/c,11.21207062214882,9.803423262650112,4.610129341002373,6.528630841528833,4.5656522131,5.8579377112,0.9390243902439024,False
32,mp-12829,0.0,69,LiCaGaF6,P-31c,10.8709392129483,8.533195226655515,5.084493720475803,8.435647679490518,8.6705059572,11.1226386085,0.9559748427672956,False
33,mp-13182,0.0,192,Li2TiGeO5,P4/nmm,9.40538002844158,11.54933787966969,4.919269203233156,4.525991746626446,-2.1256167084,9.4949853854,0.8590604026845637,False
34,mp-13276,0.0,783,SrLiP,P6_3/mmc,5.981955452548122,6.536984292187223,3.8954389604347326,5.024891801705611,4.4455792169,4.4455792169,0.991304347826087,False
35,mp-13277,0.0,784,BaLiP,P6_3/mmc,5.372477855356657,5.708310687835728,3.166272585786774,4.6326643413558815,3.8380809803,3.8380809803,0.9921875,False
36,mp-13634,0.0,323,Cs2LiAl3F12,R-3m,8.916923391696983,9.324809020214763,3.718056200394418,4.867199766802454,2.6304216071,6.3608379133,0.993103448275862,False
37,mp-13725,0.0,424,Li3PO4,Pmn2_1,12.859785237244502,14.959953980815284,7.239374691185736,9.754960384100984,10.1871557798,10.1871557798,0.8785046728971962,False
38,mp-13772,0.0,10,Li3Pr2(BO3)3,P2_1/c,11.009118456251226,13.905645162072451,4.852185918448631,7.265537306074762,5.391293985,9.8899249116,0.7843137254901961,False
39,mp-1378,2.967e-05,71,LiC,Immm,10.99305053781683,15.785309074934728,7.463754222361057,8.567077807300095,7.9414057985,11.3448653788,0.9787234042553192,True
40,mp-13843,0.0,464,Li2TeO4,P4_122,11.21361817442287,12.153012438548924,5.891190090137664,8.573517429798294,6.328523171,7.1850503339,0.971830985915493,False
41,mp-13944,0.0,266,Li3AlN2,Ia-3,14.032838304122125,14.181893705533584,10.049506593180183,10.716451656052064,7.0830526601,8.4298302489,0.9671052631578948,False
42,mp-13985,0.0,11,Li2PdF6,P4_2/mnm,9.95499342139283,9.60144908677551,5.041846303954033,8.297798828826958,7.683414997,7.683414997,0.9517241379310344,False
43,mp-13986,0.0,592,Li2PtF6,P4_2/mnm,9.937524005939956,9.537223406361871,4.613231613392642,8.373021733876618,6.2721380244,7.5421992568,0.9295774647887324,False
