,material_id,formula_pretty_reduced,d_fav
4,mp-24610,LiP(HO2)2,-16.802681116663013
28,mp-569238,Cs3LiI4,-5.0295382193343166
33,mp-558728,Cs3Li2F5,-4.2901561295521375
59,mp-753277,LiAgF2,-5.884695688822422
78,mp-569055,CsLi2I3,-4.3378589770757685
88,mp-20187,LiInSe2,-4.333021476221865
102,mp-703273,KBaLiZnF6,-4.449562364273994
111,mp-16264,LiCaSb,-4.001084843926683
124,mp-20782,LiInTe2,-4.73642517861278
130,mp-24199,LiHF2,-24.292323422613155
136,mp-23662,LiB(HO)4,-20.99131168040243
177,mp-567628,Rb2LiDyBr6,-4.056256607876362
178,mp-24148,LiLa2HO3,-18.798027904773022
209,mp-14854,Sr2LiIn(B2O5)2,-11.783523287213155
212,mp-6499,BaLiBO3,-11.610103817809431
220,mp-24411,K2LiAlH6,-8.646948097528249
248,mp-31096,Li3AlH6,-7.966600538805839
282,mp-556237,KLiYF5,-4.340992282891562
286,mp-553988,Cs2LiF3,-6.343472907481725
296,mp-27281,LiH3O2,-19.431979967952664
324,mp-10814,SrLiBO3,-13.702624954624204
337,mp-10556,Sr2LiReN4,-4.8176783986411
348,mp-557798,K5Li2NdF10,-7.671953271548034
399,mp-6075,Ba2Li(BO2)5,-7.5146478704544215
411,mp-24560,LiB2H3O5,-30.538115848326118
414,mp-18495,SrLi(B3O5)3,-6.674591715453115
430,mp-752882,LiAgF2,-5.787413850298152
431,mp-758604,LiAgF2,-5.998061112169932
435,mp-558483,K4LiIO6,-4.540051317436626
437,mp-5990,CsLi(B3O5)2,-8.054921799192883
451,mp-8796,Sr2LiSc(B2O5)2,-10.711893096053332
501,mp-571409,Cs2Li3Br5,-4.051750915566066
517,mp-23703,LiH,-7.938942838386954
519,mp-23702,LiH2N,-6.192049018208106
531,mp-774907,KLiZnS2,-5.456659341075319
564,mp-23818,BaLiH3,-6.586166202011967
568,mp-23774,K2LiAlH6,-5.418337999907703
608,mp-20310,LiInSe2,-4.229922990803279
612,mp-5048,LiGaTe2,-4.380245963526132
628,mp-23736,LiMgH3,-7.690826210397081
635,mp-23797,LiH6ClO7,-20.231566432371867
666,mp-559612,KLiO,-5.636492543341834
673,mp-23856,LiHO,-18.431089024709078
679,mp-24446,LiH2SO4,-11.736062839721889
688,mp-23985,LiH6BrO7,-12.61007002838732
699,mp-559766,Cs3LiF4,-8.51001295436172
716,mp-30209,LiBH4,-11.648862549142848
718,mp-989504,Na2LiNF6,-4.250354888987832
746,mp-6253,KLiBeF4,-11.204188782254764
753,mp-758302,LiAgF2,-6.456575534506747
757,mp-24150,LiNd2HO3,-18.788979907509006
767,mp-28243,RbLiCl2,-4.878440442378853
791,mp-570756,Cs3Li2Cl5,-5.3265107153613815
795,mp-21496,LiLa4CuO8,-4.286257575151808
819,mp-12240,Na2LiBe2F7,-10.900806563069615
830,mp-571390,Cs2LiCl3,-5.344040242468545
844,mp-24413,Na2LiAlH6,-8.761649251107688
