,material_id,formula_pretty_reduced,d_fav
29,mp-941221,Li(BH)5,25.191963911858792
34,mp-976291,LiAlH4,15.563287904835821
45,mp-977298,LiBeH3,16.014075803824582
55,mp-556562,LiAsH6(OF2)3,19.732810226470622
125,mp-638070,LiB13C2,14.25871250906162
157,mp-697181,CsLi2(HO)3,12.925572667927437
207,mp-504354,LiBi(PO3)4,12.201742120567573
215,mp-866640,LiMgH6Ir,21.31458394776593
277,mp-696057,LiMg4H13Os2,14.56399843430891
290,mp-696949,Li3TeHO4,13.830018860870105
305,mp-760502,LiH2ClO,20.667614003498183
363,mp-571132,LiMg10AlH24,12.942468937914853
366,mp-655591,LiB13C2,13.982583543121152
400,mp-722890,Li3H6Ir,14.607115445035022
442,mp-755891,CsLiH4SO5,14.601068620418204
535,mp-698205,LiB(HO2)2,14.622052244575158
586,mp-560246,LiUP(H4O5)2,16.65086564810085
614,mp-570218,LiBeH3,16.252525741426567
616,mp-8204,LiAlB14,13.532448487700416
662,mp-604147,Na2Li(H2N)3,28.537854316910554
717,mp-643276,LiMg2H7Ru,15.424733173672157
739,mp-733455,Li3H6Rh,13.772273113104127
806,mp-977148,LiBeH3,15.211446755517631
837,mp-642740,CsLi(H2N)2,24.757322208675447
